api-1  | INFO:     172.19.0.1:60414 - "GET /api/v1/me HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:40214 - "GET /api/v1/library HTTP/1.1" 403 Forbidden
api-1  | INFO:     172.19.0.1:40214 - "GET /api/v1/me HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:40214 - "OPTIONS /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:40216 - "OPTIONS /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:40214 - "GET /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:40216 - "GET /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40858 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49686 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44244 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52652 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40868 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56804 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38834 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34216 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41738 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54474 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:55338 - "GET /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:55342 - "GET /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49032 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:55342 - "GET /api/v1/library HTTP/1.1" 403 Forbidden
api-1  | INFO:     172.19.0.1:55342 - "GET /api/v1/me HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:33844 - "GET /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:33854 - "GET /api/v1/library HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38750 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44276 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56828 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52228 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60734 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37392 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34520 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37422 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38216 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50426 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37702 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39604 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51282 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56954 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:58906 - "GET /api/v1/me HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40218 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41250 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:43706 - "GET /api/v1/me HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:43706 - "GET /api/v1/me HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37386 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46176 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45348 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38932 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37208 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48422 - "GET /healthz HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44100 - "GET /healthz HTTP/1.1" 200 OK
